pato_id	label	parent_pato_ids	parent_labels	temporary_flopo_id	examples
PATO:0104047	brownish	PATO:0000952	brown	FLOPO_0980130	Dichrostachys cinerea: brownish female flowers || Potamogeton pectinatus: narrow brownish wavy-edged leaves || Potamogeton pusillus: narrow brownish leaves
PATO:0104048	rose-pink	PATO:0000954|PATO:0000322	pink|red	FLOPO_0980131	Dichrostachys cinerea: rose-pink male flowers || Erodium crassifolium: rose-pink flowers || Lotus lanuginosus: rose-pink flowers
PATO:0104049	pale pinkish	PATO:0000954	pink	FLOPO_0980132	Endostemon gracile: pale pinkish flowers || Malva verticillata: pale pinkish flowers || Pavonia arabica: pale pinkish flowers
PATO:0104050	deep lilac-blue	PATO:0000318|PATO:0001943	blue|lilac	FLOPO_0980133	Globularia arabica: deep lilac-blue scabious-like flowers || Gynandiris sisyrinchium: deep lilac-blue flowers 5.5 cm wide || Teucrium oliverianum: deep lilac-blue flowers
PATO:0104051	pale greenish yellow	PATO:0000320|PATO:0000324	green|yellow	FLOPO_0980134	Gomphocarpus fruticosus: pale greenish yellow flowers || Jatropha pelargoniifolia: pale greenish yellow flowers || Pergularia daemia: pale greenish yellow flowers
PATO:0104052	narrow cylindrical	PATO:0000599|PATO:0001873	decreased width|cylindrical	FLOPO_0980135	Indigofera phillipsiae: narrow cylindrical fruits || Indigofera sessiliflora: narrow cylindrical pods || Moricandia sinaica: narrow cylindrical fruits
PATO:0104053	pinkish lilac	PATO:0000954|PATO:0001943	pink|lilac	FLOPO_0980136	Ipomoea sinensis ssp. blepharosepala: pinkish lilac flowers || Moricandia sinaica: pinkish lilac flowers || Pisum sativum: pinkish lilac flowers
PATO:0104054	orange-yellow	PATO:0000953|PATO:0000324	orange|yellow	FLOPO_0980137	Kalanchoe crenata: orange-yellow flowers || Lindenbergia sinaica: orange-yellow flowers || Sida ovata: orange-yellow flowers
PATO:0104055	purplish-brown	PATO:0000951|PATO:0000952	purple|brown	FLOPO_0980138	Acacia asak: Flat purplish-brown pods || Holothrix arachnoidea: many purplish-brown flowers
PATO:0104056	creamy-yellow	PATO:0000323|PATO:0000324	white|yellow	FLOPO_0980139	Acacia etbaica ssp. uncinata: creamy-yellow flowers || Hippocrepis constricta: creamy-yellow flowers
PATO:0104057	very wide	PATO:0000600	increased width	FLOPO_0980140	Acacia hamulosa: pods very wide and slightly twisted || Dalechampia scandens var. cordofana: fruits cupped in 8 mm very wide
PATO:0104058	white flushed pink	PATO:0000323|PATO:0000954	white|pink	FLOPO_0980141	Acacia mellifera: white flowers flushed pink || Euphorbia granulata var. glabrata: white flowers flushed pink
PATO:0104059	pinkish white	PATO:0000954|PATO:0000323	pink|white	FLOPO_0980142	Acokanthera schimperi: pinkish white flowers || Polygonum aviculare: pinkish white flowers
PATO:0104060	almost circular	PATO:0000411	circular	FLOPO_0980143	Aerva lanata: almost circular leaves || Farsetia aegyptia: flat, almost re circular, soft-hairy fruits
PATO:0104061	pinkish fawn	PATO:0000954|PATO:0000952|PATO:0000324	pink|brown|yellow	FLOPO_0980144	Allium sindjarense: pinkish fawn flowers || Allium stamineum: pinkish fawn flowers
PATO:0104062	white flushed with pink	PATO:0000323|PATO:0000954	white|pink	FLOPO_0980145	Amygdalus arabica: white flowers flushed with pink || Biserrula pelecinus: white flowers flushed with pink
PATO:0104063	narrow dentate	PATO:0000599|PATO:0001205	decreased width|dentated	FLOPO_0980146	Amygdalus arabica: narrow dentate leaves || Sida spinosa: narrow dentate leaves
PATO:0104064	deep blue	PATO:0000318	blue	FLOPO_0980147	Anchusa affinis: brilliant deep blue flowers || Paracaryum intermedium: deep blue flowers 3 mm wide with white centre
PATO:0104065	relatively large	PATO:0000586	increased size	FLOPO_0980148	Astragalus schimperi: relatively large coarse leaves || Duvalia velutina: relatively large soft-spiny fruits
PATO:0104066	flat-sided	PATO:0000407	flat	FLOPO_0980149	Avicennia marina: flat-sided mangoshaped fruits || Rhus tripartita: bright red, shiny, flat-sided fruits
PATO:0104067	greenish white	PATO:0000320|PATO:0000323	green|white	FLOPO_0980150	Bellevalia flexuosa: greenish white tubular flowers || Solenostemma oleifolium: greenish white flowers
PATO:0104068	deep violet-blue	PATO:0000318|PATO:0001424	blue|violet	FLOPO_0980151	Campanula dulcis: deep violet-blue flowers || Campanula edulis: deep violet-blue flowers
PATO:0104069	pale blue-lilac	PATO:0001266|PATO:0001943|PATO:0000318	desaturated blue|lilac|blue	FLOPO_0980152	Campanula dulcis: pale blue-lilac flowers || Lavandula dentata: pale blue-lilac flowers
PATO:0104070	light scarlet	PATO:0000322	red	FLOPO_0980153	Capparis decidua: light scarlet flowers 3 cm wide || Indigofera oblongifolia: light scarlet flowers
PATO:0104071	mahogany-red	PATO:0000322	red	FLOPO_0980154	Caralluma commutata: flat shallow mahogany-red flowers || Caralluma sp. aff. commutata: mahogany-red flowers
PATO:0104072	green and grey mottled	PATO:0000320|PATO:0000950|PATO:0002274	green|grey|mottled	FLOPO_0980155	Caralluma commutata: green and grey mottled stems || Caralluma sp. aff. commutata: green and grey mottled stems
PATO:0104073	deep orange	PATO:0000953	orange	FLOPO_0980156	Caylusea hexagyna: deep orange anthers || Grewia villosa: deep orange- and young stems
PATO:0104074	narrow lobed	PATO:0000599|PATO:0001979	decreased width|lobed	FLOPO_0980157	Centaurea ammocyanus: narrow lobed grey leaves || Hyoscyamus pusillus: with narrow lobed leaves
PATO:0104075	spotted with crimson	PATO:0000333|PATO:0000322	spotted|red	FLOPO_0980158	Cienfuegosia welshii: also spotted with crimson || Cienfuegosia welshii: the petals spotted with crimson
PATO:0104076	lemon-yellow	PATO:0000324	yellow	FLOPO_0980159	Cleome brachycarpa: lemon-yellow flowers || Echinops glaberrimus: leaves and buds are lemon-yellow
PATO:0104077	very pale blue	PATO:0000318	blue	FLOPO_0980160	Commelina albescens: very pale blue flowers || Echinops viscosus: very pale blue flowers
PATO:0104078	bright magenta-pink	PATO:0001275|PATO:0000954|PATO:0000321	saturated magenta|pink|magenta	FLOPO_0980161	Corbichonia decumbens: bright magenta-pink flowers || Tephrosia purpurea ssp. leptostachya var. leptostachya: bright magenta-pink flowers
PATO:0104079	reddish-purple	PATO:0000322|PATO:0000951	red|purple	FLOPO_0980162	Cotoneaster racemiflora: small reddish-purple fruits || Terminalia brownii: Reddish-purple fruits
